"","age","gender","region_category","membership_category","joined_through_referral","preferred_offer_types","medium_of_operation","internet_option","days_since_last_login","avg_time_spent","avg_transaction_value","avg_frequency_login_days","points_in_wallet","used_special_discount","offer_application_preference","past_complaint","complaint_status","feedback","churn_risk_score","Days_from","time_from_last_visit"
"22846",34,"F","Town","No Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",23,101.81,4745.1,22,540.31,"No","Yes","No","Not Applicable","Poor Product Quality","5",680,534
"22847",16,"F","Town","Basic Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",11,418.54,3413,20,676.77,"Yes","No","Yes","Unsolved","No reason specified","4",464,253
"22851",53,"F","Town","Gold Membership","Yes","Without Offers","Smartphone","Fiber_Optic",15,1220.42,28492.9,18,671.45,"Yes","Yes","Yes","No Information Available","Too many ads","4",618,352
"22855",17,"M","City","Platinum Membership","Yes","Without Offers","Smartphone","Fiber_Optic",13,549.44,35994.95,12,755.16,"Yes","Yes","No","Not Applicable","Poor Product Quality","3",337,311
"22859",32,"M","Town","Silver Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",15,1362.76968688183,16124.72,6,700.23,"No","Yes","Yes","Solved in Follow-up","Poor Product Quality","4",506,337
"22862",63,"M","Town","Basic Membership","No","Without Offers","Smartphone","Fiber_Optic",15,318.12,28063.5,5,691.19,"Yes","No","Yes","Solved","No reason specified","4",1063,354
"22863",23,"M","Village","Gold Membership","Yes","Without Offers","Both","Fiber_Optic",5,1465.57,36274.13,28,674.15,"Yes","No","Yes","No Information Available","No reason specified","4",1047,114
"22864",44,"F","Town","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",17,174.58,38555.75,6,631,"No","Yes","No","Not Applicable","Poor Product Quality","4",883,400
"22866",20,"M","Village","Gold Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",19,52.51,11477.56,20,744.61,"Yes","No","No","Not Applicable","Poor Website","3",337,456
"22867",34,"M","City","Gold Membership","No","Gift Vouchers/Coupons","Both","Mobile_Data",5,213.37,35187.44,17,706.49,"No","Yes","No","Not Applicable","Poor Website","4",928,115
"22871",18,"F","Town","Gold Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",23,80.31,13882.19,27,639.39,"No","Yes","Yes","Unsolved","Poor Customer Service","4",890,550
"22875",38,"F","Town","Premium Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",16,46.37,42241.12,11,798.05,"Yes","No","Yes","No Information Available","Poor Website","3",384,365
"22876",40,"F","Town","Basic Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",22,35.52,11430.94,10,1270.31619161577,"Yes","No","Yes","Unsolved","Poor Product Quality","4",207,515
"22877",14,"M","Town","Silver Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",4,1026.67,22282.07,17,713.38,"Yes","Yes","Yes","Solved","No reason specified","4",432,91
"22881",10,"F","City","Platinum Membership","No","Without Offers","Smartphone","Fiber_Optic",8,32.4,85795.36,12,787.43,"No","Yes","No","Not Applicable","Reasonable Price","2",98,169
"22887",31,"F","City","Gold Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",16,139.74,37932.87,17,1231.05812785355,"No","Yes","No","Not Applicable","No reason specified","3",905,364
"22888",41,"M","Town","No Membership","No","Without Offers","Desktop","Fiber_Optic",15,338.68,18345.2,27,686.36,"No","Yes","Yes","Solved in Follow-up","No reason specified","4",64,357
"22889",22,"M","Village","Basic Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",13,44.78,9066.64,7,653.67,"Yes","No","No","Not Applicable","Poor Customer Service","5",888,296
"22891",58,"M","City","Basic Membership","Yes","Without Offers","Desktop","Fiber_Optic",10,34.82,34430.65,20,868.010389528302,"Yes","No","No","Not Applicable","No reason specified","5",681,238
"22892",24,"M","City","Gold Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",13,52.1,2090.12,23,80.1595194963141,"No","Yes","No","Not Applicable","Poor Customer Service","3",833,310
"22893",34,"M","Town","Silver Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",12,621.64,31328.91,20,668.36,"No","Yes","Yes","Solved","Poor Product Quality","4",136,275
"22894",43,"M","City","No Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",18,71.07,23827.63,24,631.12,"No","Yes","No","Not Applicable","Poor Website","4",26,424
"22895",29,"M","City","Gold Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",12,127.69,25225.24,8,673.19,"No","Yes","No","Not Applicable","No reason specified","4",1060,279
"22896",26,"M","City","Gold Membership","No","Gift Vouchers/Coupons","Both","Mobile_Data",16,223.27,42167.41,15,835.52,"No","Yes","No","Not Applicable","User Friendly Website","1",351,378
"22903",24,"M","Town","No Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",17,235.45,14834.57,22,358.077314276345,"Yes","Yes","Yes","Solved","No reason specified","5",710,402
"22907",45,"M","City","Platinum Membership","Yes","Credit/Debit Card Offers","Both","Fiber_Optic",5,770.01,22041.23,26,387.800705166959,"No","Yes","Yes","Solved","Too many ads","3",564,107
"22911",37,"M","Town","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",12,70.62,46832.84,14,660.19,"Yes","No","No","Not Applicable","No reason specified","4",603,268
"22912",46,"M","Village","Platinum Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",5,97.56,94022.24,9,787.66,"Yes","No","Yes","Solved in Follow-up","Reasonable Price","2",681,110
"22916",59,"M","Town","Platinum Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",12,93.26,40699.48,18,780.74,"Yes","No","No","Not Applicable","No reason specified","3",697,266
"22917",38,"F","Town","Platinum Membership","No","Without Offers","Smartphone","Wi-Fi",24,230.49,47440.28,8,703.14,"Yes","Yes","Yes","Unsolved","Poor Website","3",160,555
"22921",15,"F","City","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",20,31.44,18919.39,29,698.71,"Yes","No","No","Not Applicable","Poor Customer Service","4",816,472
"22924",45,"M","City","Basic Membership","Yes","Without Offers","Desktop","Wi-Fi",15,166.24,16552.72,29,526.36,"Yes","No","Yes","Unsolved","Poor Product Quality","5",795,359
"22929",14,"F","City","Silver Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",4,88.63,3120.03,11,385.675576075915,"No","Yes","Yes","Unsolved","Too many ads","3",422,77
"22930",40,"F","City","Gold Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",15,186.36,49459.14,15,788.8,"No","Yes","No","Not Applicable","Too many ads","3",563,357
"22931",58,"M","City","Platinum Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",19,31.51,2185.41,6,790.37,"Yes","No","Yes","Solved in Follow-up","Poor Website","3",713,439
"22932",56,"M","Village","No Membership","Yes","Without Offers","Smartphone","Fiber_Optic",15,522.91,29772.23,12,627.87,"No","Yes","Yes","Solved in Follow-up","Too many ads","5",203,360
"22934",39,"M","Village","Gold Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",2,31.77,44478.1,8,796.3,"No","Yes","No","Not Applicable","Poor Website","3",573,30
"22935",41,"M","Town","Platinum Membership","Yes","Gift Vouchers/Coupons","Both","Fiber_Optic",16,545.21,49528.15,15,704.08,"Yes","Yes","Yes","Solved","Poor Product Quality","3",543,364
"22936",14,"F","Town","Silver Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",10,394.27,35562.42,29,999.530439807896,"Yes","No","Yes","Unsolved","Poor Website","3",427,237
"22937",30,"M","City","Platinum Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",8,950.91,7053.74,9,754.79,"No","Yes","Yes","Solved in Follow-up","Products always in Stock","2",244,192
"22938",28,"F","Town","Premium Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",8,898.06,30402.91,19,1428.55414471462,"Yes","Yes","Yes","Unsolved","Poor Website","3",149,189
"22939",21,"F","Town","Platinum Membership","Yes","Credit/Debit Card Offers","Both","Wi-Fi",20,726.79,40012.53,27,744.72,"No","Yes","Yes","Unsolved","Poor Product Quality","3",857,480
"22940",42,"F","Town","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",14,92.24,23028.9,19,646.22,"Yes","No","No","Not Applicable","Poor Product Quality","4",264,334
"22943",50,"F","Village","No Membership","No","Without Offers","Desktop","Mobile_Data",8,116.52,47903.1,16,590.13,"No","Yes","No","Not Applicable","Too many ads","5",381,177
"22944",64,"M","City","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",4,636.7,4474.58,9,521.06,"Yes","No","No","Not Applicable","Too many ads","5",402,74
"22946",34,"M","Town","Premium Membership","Yes","Without Offers","Smartphone","Wi-Fi",25,212.59,2928.82,17,704.05,"No","Yes","No","Not Applicable","No reason specified","3",689,593
"22948",20,"F","Town","No Membership","No","Gift Vouchers/Coupons","Both","Fiber_Optic",5,495.58,46323.58,8,603.3,"No","Yes","No","Not Applicable","Too many ads","5",354,97
"22950",59,"M","City","Gold Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",15,137.93,33753.73,13,727.5,"No","Yes","No","Not Applicable","No reason specified","3",22,357
"22955",49,"M","Town","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",14,192.93,17909.84,22,609.77,"No","Yes","No","Not Applicable","Poor Website","4",238,322
"22957",53,"F","Town","No Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",7,58.67,32919.34,8,712.93,"Yes","No","Yes","Solved","Poor Customer Service","4",512,160
"22958",16,"F","Town","Premium Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",12,127.22,20637.7,26,704.84,"No","Yes","No","Not Applicable","Poor Product Quality","3",28,280
"22964",28,"F","Town","No Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",7,55.37,39808.31,8,644.93,"Yes","No","Yes","No Information Available","Poor Customer Service","5",164,164
"22965",59,"F","City","Platinum Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",19,185.43,35357.6,15,797.44,"No","Yes","No","Not Applicable","Reasonable Price","2",583,450
"22968",12,"F","Town","Basic Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",24,31.19,2837.4,21,343.468313829882,"Yes","No","Yes","No Information Available","Too many ads","5",3,553
"22969",36,"M","Village","No Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",17,86.13,40197.24,8,586.7,"Yes","No","No","Not Applicable","No reason specified","5",94,386
"22970",49,"M","Village","Silver Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",14,98.25,10672.23,7,715.14,"Yes","No","No","Not Applicable","Poor Customer Service","3",252,326
"22971",27,"M","City","Silver Membership","No","Without Offers","Smartphone","Wi-Fi",12,75.81,21523.26,9,752.12,"No","Yes","Yes","No Information Available","No reason specified","3",403,269
"22973",62,"F","City","Basic Membership","No","Without Offers","Desktop","Mobile_Data",20,307.52,33931.64,18,583.54,"Yes","No","No","Not Applicable","Poor Product Quality","5",1040,471
"22974",46,"F","Village","Basic Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",3,396.86,47975.78,15,56.9699409927843,"No","Yes","Yes","Solved in Follow-up","Poor Customer Service","5",440,58
"22975",50,"F","City","Platinum Membership","Yes","Without Offers","Desktop","Fiber_Optic",16,131.95,84752.51,17,805.49,"No","Yes","Yes","Unsolved","Products always in Stock","1",73,381
"22976",42,"M","Village","No Membership","No","Without Offers","Smartphone","Fiber_Optic",18,73.9,11857.98,25,632.4,"Yes","No","No","Not Applicable","No reason specified","4",666,415
"22981",29,"M","City","Gold Membership","No","Without Offers","Smartphone","Wi-Fi",10,369.32,8161.23,8,737.54,"Yes","No","No","Not Applicable","Poor Customer Service","3",690,238
"22982",28,"M","Town","Gold Membership","No","Credit/Debit Card Offers","Both","Fiber_Optic",8,619.94,44678.54,47.5356290381329,629.54,"Yes","No","Yes","Unsolved","No reason specified","4",217,192
"22984",37,"M","Town","No Membership","Yes","Without Offers","Desktop","Mobile_Data",12,65.02,25373.52,5,696.8,"No","Yes","No","Not Applicable","No reason specified","5",984,269
"22985",19,"F","Town","Basic Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",11,73.44,22949.15,7,238.667265466247,"Yes","No","No","Not Applicable","No reason specified","5",870,242
"22986",12,"F","Town","Platinum Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",15,33.08,12713.73,21,787.03,"Yes","No","Yes","Solved","Poor Customer Service","3",786,345
"22991",43,"M","Town","Gold Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",4,34.82,9433.39,12,710.42,"Yes","No","Yes","Solved in Follow-up","Too many ads","3",585,92
"22992",37,"F","Town","Gold Membership","No","Without Offers","Desktop","Mobile_Data",18,184.3,28891.28,28,640.53,"Yes","No","Yes","Unsolved","Poor Website","4",356,420
"22994",48,"F","City","Platinum Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",10,112.98,2878.31,11,771.3,"No","Yes","Yes","Unsolved","Too many ads","3",751,226
"22995",55,"F","City","Premium Membership","No","Gift Vouchers/Coupons","Both","Fiber_Optic",14,465.89,17122.55,8,215.717409037807,"Yes","No","No","Not Applicable","Poor Customer Service","3",948,320
"22996",57,"M","Town","Silver Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",3,229.59,56518.43,16,769.34,"No","Yes","Yes","No Information Available","Quality Customer Care","2",1052,50
"22997",23,"M","Town","Premium Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",12,1081.93013279508,16567.76,13,707.23,"Yes","No","No","Not Applicable","Poor Website","3",81,276
"22998",14,"F","City","Premium Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",19,30.46,61455.37,9,755.43,"No","Yes","Yes","Solved in Follow-up","Products always in Stock","2",1046,440
"23000",38,"F","City","Silver Membership","Yes","Without Offers","Smartphone","Wi-Fi",16,124.8,42728.02,20,622.11,"No","Yes","No","Not Applicable","Too many ads","4",322,363
"23001",34,"F","Town","Silver Membership","No","Gift Vouchers/Coupons","Both","Wi-Fi",4,389.61,71004.02,1,762.2,"Yes","No","No","Not Applicable","Products always in Stock","2",728,77
"23004",30,"M","City","Silver Membership","Yes","Gift Vouchers/Coupons","Both","Wi-Fi",8,504.84,20518.45,5,661.1,"Yes","No","Yes","Solved","Too many ads","4",877,171
"23005",57,"F","Village","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",15,30.33,20494.38,5,606.55,"Yes","No","No","Not Applicable","No reason specified","4",1058,341
"23007",38,"M","Town","Platinum Membership","No","Without Offers","Both","Wi-Fi",21,309.14,12261.92,19,716.36,"No","Yes","No","Not Applicable","Poor Product Quality","3",243,492
"23008",14,"M","Town","Basic Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",13,132.68,6563.28,24,580.66,"Yes","No","No","Not Applicable","Poor Product Quality","5",772,292
"23009",57,"M","Town","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",16,33.09,36591.43,25,693.92,"Yes","No","Yes","No Information Available","No reason specified","4",395,380
"23012",10,"F","City","No Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",13,184.96,16146.88,25,703.15,"No","Yes","No","Not Applicable","Poor Product Quality","4",116,297
"23013",21,"F","Town","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",12,113.72,44199.83,24,504.59,"No","Yes","No","Not Applicable","No reason specified","5",721,288
"23014",55,"F","Town","Silver Membership","Yes","Without Offers","Desktop","Fiber_Optic",17,227.41,60985.9,14,739.39,"Yes","No","No","Not Applicable","Products always in Stock","2",674,385
"23017",26,"M","City","Silver Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",21,438.29,32679.43,2,738.77,"No","Yes","Yes","Solved","User Friendly Website","2",9,499
"23019",22,"F","Town","No Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",11,61.65,29880.56,6,1042.76979815035,"No","Yes","Yes","Solved in Follow-up","No reason specified","5",238,241
"23021",38,"F","Town","Silver Membership","Yes","Without Offers","Smartphone","Wi-Fi",1,525.82,40215.52,12,298.751825117932,"No","Yes","Yes","Unsolved","Poor Website","4",582,10
"23022",26,"F","Village","Gold Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",14,101.03,21008.32,26,738.52,"Yes","No","Yes","Unsolved","Poor Product Quality","3",435,327
"23024",45,"M","Town","Basic Membership","Yes","Credit/Debit Card Offers","Both","Fiber_Optic",10,738.93,8407.21,25,630,"Yes","Yes","No","Not Applicable","Poor Customer Service","4",170,239
"23025",17,"F","City","Gold Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",23,274.41,45239.61,6,680.12,"No","Yes","No","Not Applicable","Poor Website","4",995,542
"23027",14,"F","City","Premium Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",11,53.31,38448.26,9,311.941858182665,"No","Yes","Yes","Unsolved","Poor Website","3",486,241
"23030",43,"M","Village","Platinum Membership","Yes","Gift Vouchers/Coupons","Both","Mobile_Data",4,1080.6,26120.58,8,969.796053764854,"No","Yes","Yes","Unsolved","Poor Product Quality","3",557,74
"23034",59,"M","Town","Basic Membership","No","Without Offers","Smartphone","Fiber_Optic",11,135.15,40894.64,18,627.2,"Yes","No","Yes","Solved","Poor Product Quality","5",520,245
